name,lat,lon,pop,unemprate13,unemp13,emp13
Butler,37.7736811,-96.8387616,65803,0.059,1815,29020
Chase,38.2985525,-96.5940642,2700,0.05,71,1336
Chautauqua,37.1542592,-96.2453962,3552,0.058,103,1670
Clay,39.3449643,-97.1688527,8406,0.043,213,4712
Cowley,37.2345068,-96.8372468,36204,0.055,1028,17666
Dickinson,38.8677353,-97.1579434,19609,0.056,595,10090
Elk,37.4560259,-96.2446421,2655,0.051,76,1428
Geary,39.0021553,-96.7680381,37384,0.069,1059,14194
Greenwood,37.8786589,-96.2422317,6424,0.054,184,3227
Kay,36.8148423,-97.1437553,45633,0.064,1417,20696
Lyon,38.4554978,-96.1615888,33510,0.069,1212,16280
Marion,38.3596474,-97.1027707,12219,0.047,299,6063
Marshall,39.7827091,-96.5212426,10002,0.039,240,5940
Morris,38.6876956,-96.6449046,5741,0.06,174,2726
Osage,36.6246804,-96.4083854,47987,0.062,1288,19581
Pottawatomie,39.3821868,-96.3371126,22691,0.051,569,10590
Riley,39.2912114,-96.7274889,75394,0.045,1623,34439
Wabaunsee,38.9551537,-96.2012619,7051,0.054,198,3468
Washington,39.7767142,-97.0956108,5629,0.037,120,3083
